COMPANY                              ,COUNTRY_ISO2,LOCATION,TURNOVER,LISTED,TICKER,STOCK_MARKET,BUSINESS_DOMAIN,ENERGY_DOMAIN,SUPPLY_CHAIN_SEGMENT,WEBSITE,INFO,CONTACT
ABO_WIND,DE,,,FALSE,,,ENERGY,WIND,,https://www.aboenergy.com/index.php,,
ABSOLUTE_HYDROGEN,FR,,,FALSE,,,ENERGY,HYDROGEN,LIQUEFIER,https://www.absolut-hydrogen.com/en/home/,,
AD-VENTA,FR,,,FALSE,,,ENERGY,HYDROGEN,DISTRIBUTION,http://www.ad-venta.com/en/,,
AEMETIS,US,,,TRUE,AMTX,^GSPC,ENERGY,BIOENERGY,SAF,https://www.aemetis.com/,,
AGROLA,CH,,,FALSE,,,,,DISTRIBUTION,https://www.agrola.ch/,,
AIR_LIQUIDE,FR,,,TRUE,AI.PA,^FCHI,ENERGY,HYDROGEN,LIQUEFIER,https://www.airliquide.com,,
AIR_PRODUCTS,US,,,TRUE,APD,^GSPC,ENERGY,HYDROGEN,LIQUEFIER,https://www.airproducts.com,,
AKER_HORIZON,NO,,,TRUE,AKHOF,OBX.OL,,,DISTRIBUTION,https://www.akerhorizons.com,,
ALDER_RENEWABLES,US,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://www.alderrenewables.com/,,
ARHYZE,FR,,,FALSE,,,ENERGY,HYDROGEN,PRODUCER,https://www.arhyze.com/,,
ATAWEY,FR,,,FALSE,,,ENERGY,HYDROGEN,DISTRIBUTION,https://www.atawey.com/en/,,
AXENS,,,,,,,,,,https://www.axens.net/,,
AXPO,CH,,,FALSE,,,ENERGY,UTILITIES,POWER,https://www.axpo.com,,
BALLARD,CA,,,TRUE,BLDP,^GSPTSE,ENERGY,HYDROGEN,FUEL_CELLS,https://www.ballard.com,,
BANNERMANN_ENERGY,AU,,,TRUE,BMN.AX,^AXJO,ENERGY,NUCLEAR,URANIUM,https://bannermanenergy.com/,,
BLOOMENERGY,US,,,TRUE,BE,^GSPC,ENERGY,HYDROGEN,FUEL_CELLS,https://www.bloomenergy.com,,
BP,GB,,,FALSE,,,,,,https://www.bp.com,,
BTX,DE,,,FALSE,,,ENERGY,HYDROGEN,,https://btx-energy.de/,,
BURU_ENERGY,AU,,,TRUE,BRU.AX,^AXJO,ENERGY,HYDROGEN,EXPLORATION,https://www.buruenergy.com,,
BYOGY,US,,,,,,ENERGY,BIOENERGY,SAF,https://byogy.com/,,
CALVERA_HYDROGEN,ES,,,FALSE,,,ENERGY,HYDROGEN,DISTRIBUTION,https://www.calvera.es/,,
CAMECO,CA,,,TRUE,CCJ,^GSPTSE,ENERGY,NUCLEAR,URANIUM,https://www.cameco.com,,
CANADIAN_SOLAR,CA,,,TRUE,CSIQ,,ENERGY,SOLAR,PANELS,https://www.canadiansolar.com/,,
CARBONIFY,DE,,,,,,,,,https://www.carbonify.de,,
CASALE,CH,,,FALSE,,,,,,https://www.casale.ch,,
CAVENDISH,DK,,,TRUE,V07.F,OBX.OL,ENERGY,HYDROGEN,DISTRIBUTION,https://www.cavendishh2.com,,
CEGH,AT,,,FALSE,,,,,,https://www.cegh.at,,
CHARBONE,US,,,TRUE,CHHYF,^GSPTSE,ENERGY,HYDROGEN,PRODUCER,https://www.charbone.com/en/accueil,,
CHENIERE_ENERGY,US,,,TRUE,LNG,^GSPC,ENERGY,LNG,LIQUEFIER,https://www.lngir.cheniere.com,,
CONSTELLATION_ENERGY,US,,,TRUE,CEG,^GSPC,ENERGY,UTILITIES,,https://www.constellation.com,,
COOLERGY,ES,,,FALSE,,,ENERGY,HYDROGEN,LIQUEFIER,https://coolergy.eu/,,
CRUSE_OFFSHORE_GMBH,DE,,,FALSE,,,ENERGY,HYDROGEN,,https://BLANK,,
CRYOMOTIVE,DE,,,FALSE,,,ENERGY,HYDROGEN,LIQUEFIER,https://www.cryomotive.com/,,
CRYOSTAR,FR,,,FALSE,,,ENERGY,HYDROGEN,LIQUEFIER,https://www.cryostar.com,,
CVE,FR,,,FALSE,,,ENERGY,HYDROGEN,PRODUCER,https://www.cvegroup.com/en/,,
C-ZERO,US,,,FALSE,,,ENERGY,HYDROGEN,,https://www.czero.energy,,
DB_CARGO,DE,,,FALSE,,,ENERGY,HYDROGEN,DISTRIBUTION,https://www.dbcargo.com,,
DE_NORA,IT,,,TRUE,DNR.MI,FTSEMIB.MI,ENERGY,HYDROGEN,ELECTROLYSER,https://www.denora.com/,,
DEEP_YELLOW,AU,,,TRUE,DYL.AX,^AXJO,ENERGY,NUCLEAR,URANIUM,https://www.deepyellow.com.au,,
DEUTSCHE_REGAS,DE,,,FALSE,,,ENERGY,LNG,,https://deutsche-regas.de/,,
DGFUELS,US,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://dgfuels.com/,,
DH2_ENERGY,ES,,,FALSE,,,ENERGY,SOLAR,PRODUCER,https://dh2energy.com/en/,,
DISTRY,FR,,,FALSE,,,ENERGY,HYDROGEN,PRODUCER,https://distry.eu/,,
DOVER_FUELING_SOLUTIONS,US,,,FALSE,,,ENERGY,HYDROGEN,DISTRIBUTION,https://www.doverfuelingsolutions.com/,,
EDISON_NEXT,IT,,,FALSE,,,ENERGY,HYDROGEN,PRODUCER,https://www.edisonnext.it/,,
EDP,PT,,,TRUE,EDP.LS,,ENERGY,UTILITIES,POWER,https://www.edp.com/en,,
EKONA_POWER,CA,,,FALSE,,,ENERGY,HYDROGEN,,https://www.ekonapower.com,,
ELEMENT2,GB,,,FALSE,,,ENERGY,HYDROGEN,DISTRIBUTION,https://element-2.co.uk/,,
ELOGEN,FR,,,FALSE,,,ENERGY,HYDROGEN,ELECTROLYSER,https://www.elogenh2.com/en/,,
ELYSE_ENERGY,FR,,,FALSE,,,,,E-METHANOL,https://elyse.energy/,,
EMCEL_GMBH,DE,,,FALSE,,,,,,https://www.emcel.com,,
EMERGY,,,,,,,,,,https://BLANK,,
EMISSIONSHAENDLER,DE,,,,,,,,,https://BLANK,,
EMPIRE_MINING_CORP,US,,,,,,,,,https://BLANK,,
ENAPTER,DE,,,TRUE,H2O.F,^GDAXI,ENERGY,HYDROGEN,ELECTROLYSER,https://www.enapter.com/,,
ENBW,DE,,,TRUE,EBK.BE,^GDAXI,ENERGY,UTILITIES,,https://www.enbw.com/company/,,
ENEL,IT,,,TRUE,ENEL.MI,FTSEMIB.MI,ENERGY,UTILITIES,,https://www.enel.com/,,
ENERTRAG,DE,,,,,,ENERGY,UTILITIES,,https://enertrag.com/,,
ENET,CH,,,FALSE,,,,,TRADING,https://enetsa.ch/en/home/,,
ENGIE,FR,,,TRUE,ENGI.PA,^FCHI,ENERGY,UTILITIES,,https://www.engie.com/en,,
EON,DE,,,TRUE,EOAN.DE,^GDAXI,ENERGY,UTILITIES,,https://www.eon.com/,,
EQUINOR,NO,,,TRUE,EQNR,OBX.OL,ENERGY,O&G_MAJORS,,https://www.equinor.com/,,
ESPE,IT,,,TRUE,ESPE.MI,,,,,https://www.espe.it/en/,,
ETFUELS,ES,,,FALSE,,,ENERGY,P2X,E-FUELS,https://www.et-fuels.com/,,
EUGLENA,JP,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://www.euglena.jp/,,
EUROPEAN_ENERGY,DK,,,FALSE,,,,,PRODUCER,https://europeanenergy.com/,,
EVERFUEL,DK,,,TRUE,EFUEL.OL,OBX.OL,ENERGY,HYDROGEN,PRODUCER,https://www.everfuel.com/,,
EWE,DE,,,FALSE,,,,,,https://www.ewe.com/,,
FABRUM,NZ,,,FALSE,,,ENERGY,HYDROGEN,LIQUEFIER,https://fabrum.nz/,,
FERVO_ENERGY,,,,,,,ENERGY,GEOTHERMAL,,https://www.fervoenergy.com/,,
FIREFLY,GB,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://flyfirefly.uk/,,
FIRST_ELEMENT_FUEL,,,,,,,,,,https://www.firstelementfuel.com,,
FIVES_GROUP,,,,,,,,,,https://www.fivesgroup.com/,,
FONTAIN_FUEL,NL,,,,,,,,,https://BLANK,,
FORTESCUE,,,,,,,,,,https://www.fortescue.com,,
FORTUM,,,,,,,,,,https://www.fortum.com,,
FREIJA,NO,,,FALSE,,,,,E-FUELS,https://www.freija.no/,,
FUELLA,,,,,,,,,,https://BLANK,,
FULLCRYO,,,,,,,,,,https://BLANK,,
FUSION_FUEL,US,,,TRUE,HTOO,^GSPC,ENERGY,HYDROGEN,PRODUCER,https://www.fusion-fuel.eu/,,
GALP,PT,,,TRUE,0B67.IL,,ENERGY,UTILITIES,POWER,https://www.galp.com,,
GASUM,FI,,,FALSE,,,,,E-METHANE,https://www.gasum.com/en/,,
GÃ–TZ_AGRARDIENST_GMBH,DE,,,,,,,,,https://BLANK,,
GCK_ENERGY,FR,,,,,,,,,https://www.gck-energy.com,,
GCK_MOBILITY,,,,,,,,,,https://www.gck-mobility.com,,
GEN2_ENERGY,,,,,,,,,,https://gen2energy.com,,
